Date,Open,High,Low,Close,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2017-10-20,32488.23046875,32699.859375,32319.369140625,32389.9609375,31300,31538.786387037475,30233.686711816506,28818.431301376586,62.91377341087506,-0.551486825447725,610.8221861761012,680.4326786400137,-69.61049246391246,0.8517530835368551,5.980012831849404,15.366959335134322,-10.351405324899678,29.892513559330876,30.971952174096025,17.72673439995432
2017-10-27,32411.859375,33286.51171875,32312.740234375,33157.21875,80500,31692.922802557718,30348.33502703939,28904.347884517643,68.24912424221414,5.335350831339078,668.3624140909669,678.0186257302045,-9.65621163923754,1.1033091743259063,6.979579015380547,15.383876653008318,11.296024885689746,30.38542593581011,34.17144405735569,15.789259204072989
2017-11-03,33260.1015625,33733.7109375,33164.28125,33685.55859375,251800,31882.697639814127,30479.206539459414,28999.02532430442,71.30994847129425,3.0608242290801115,747.9738917126851,692.0096789267006,55.9642127859845,1.1571641527807308,8.271537539117176,15.435017804071416,12.436394371990376,31.283914962319084,36.99875287778765,14.760686429333134
2017-11-10,33710.1484375,33865.94921875,33108.08984375,33314.55859375,347700,32019.065349712782,30590.396816098262,29084.481428649877,66.46466976994014,-4.845278701354104,772.2281959267093,708.0533823267024,64.17481360000693,0.9511677827185385,8.68984191764324,15.363690110312257,-12.759098194034383,32.24107026980817,35.3479937901984,13.514315768839014
2017-11-17,33397.41015625,33520.8203125,32683.58984375,33342.80078125,62400,32145.135390811563,30698.33422649637,29168.804584146907,66.65043648441033,0.18576671447019066,784.6834726365378,723.3794003886694,61.30407224786836,0.9164005752755661,8.687269993730396,15.376871262015555,11.041336579870135,32.1542633457178,32.12118451972827,16.90914547222651
2017-11-24,33365.83984375,33738.53125,33288.2109375,33679.23828125,50700,32291.240427996177,30815.232424722002,29258.120102901423,68.86317638787905,2.212739903468716,812.3379376070661,741.1711078323488,71.16682977471737,0.9650083679646162,9.219608892139991,15.38745447361197,10.83370091325064,32.31780271519188,32.93601305504312,16.05993841068467
2017-12-01,33640.51171875,33770.1484375,32797.78125,32832.94140625,40200,32342.83099735368,30894.358267134867,29328.90864356179,58.37151629387401,-10.491660094005042,757.2362669987124,744.3841396656215,12.852127333090834,0.6657800000308861,9.283201695802042,15.37907226651983,-10.601647149919609,31.43908083739847,29.49182379348442,19.654787311085556
2017-12-08,32968.01953125,33285.6796875,32565.16015625,33250.30078125,51500,32429.256691058094,30986.748169649185,29406.55997302096,61.487737731088174,3.116221437214165,738.7295946759441,743.253230667686,-4.523635991741912,0.7763870407116367,9.536799846571354,15.389798070270468,10.849356503939038,30.177614016195395,27.22033984949064,20.627591002527698
2017-12-15,33317.71875,33621.9609375,32886.9296875,33462.96875,80100,32527.70545857637,31083.85485907471,29486.884899297773,63.007339795698925,1.5196020646107513,732.7764603669239,741.1578766075336,-8.381416240609724,0.812910841264743,9.935116562965575,15.406255031724992,11.291043617373028,29.467235500315514,28.66597398634452,19.018334571614577
2017-12-22,33364.51953125,33964.28125,32595.630859375,33940.30078125,66500,32662.23834645005,31195.87234621884,29575.07135240574,66.22831074537588,3.2209709496769534,757.8393637816043,744.4941740423477,13.345189739256625,0.9049625955078365,10.66778774188792,15.41971499964922,11.104972264124868,29.239675985996865,28.17160969684325,16.445585208784934
