Date,Close,High,Low,Open,Volume,ema_20,ema_50,ema_100,rsi_14,rsi_change,macd,macd_signal,macd_hist,bb_percent,bb_width,obv,obv_slope,adx,plus_di,minus_di
2008-07-10,13926.240234375,14046.58984375,13763.9404296875,13851.58984375,26400,14147.89000966475,15097.99558523646,16077.625639079222,43.795010505336634,-0.3887587023819705,-565.53982546927,-632.2590732154167,66.71924774614672,0.42035816814170973,22.51399454388796,-236900,-26400.0,43.20147109694479,18.94558619462924,32.65464663059533
2008-07-11,13469.849609375,14063.4501953125,13351.33984375,14063.4501953125,29000,14083.314733446678,15034.146723437972,16025.986509778148,39.322298845267966,-4.4727116600686685,-551.6921126635061,-616.1456811050347,64.45356844152855,0.2990558706020164,22.05579380640934,-265900,-29000.0,42.60537138888621,17.017391226572425,35.22812905692554
2008-07-14,13330.509765625,13557.2099609375,13270.400390625,13333.0302734375,23600,14011.619022225565,14967.337430974718,15972.610732666204,38.0447876376783,-1.2775112075896686,-545.671104551715,-602.0507657943708,56.37966124265586,0.2747597199714846,20.966624342715388,-289500,-23600.0,42.16021878995109,16.297931625360555,34.93186648344631
2008-07-15,12676.1904296875,13067.080078125,12607.6201171875,13067.080078125,30000,13884.43534674575,14877.488528963455,15907.335083102269,32.67623783354337,-5.368549804134929,-586.9317306408902,-599.0269587636747,12.09522812278442,0.06907204169342702,19.51707146897398,-319500,-30000.0,42.52121828967135,14.620174694264781,40.77418499589438
2008-07-16,12575.7998046875,12935.25,12514.990234375,12759.759765625,31200,13759.80339035925,14787.226226050672,15841.364087490096,31.931724830383374,-0.7445130031599945,-620.5781202476119,-603.3371910604621,-17.24092918714973,0.05112747666986173,18.249497545059658,-350700,-31200.0,42.95070501833233,13.734948843522677,39.63992977350044
2008-07-17,13111.849609375,13150.349609375,12843.7900390625,12909.5703125,33600,13698.093506455989,14721.525182259471,15787.314295844253,39.81690184478424,7.885177014400867,-597.1053285940743,-602.0908185671847,4.9854899731103615,0.2781088955515544,16.146824097030336,-317100,33600.0,42.72516303895537,15.675001859581611,36.39546303900501
2008-07-18,13635.400390625,13684.26953125,13093.33984375,13234.5302734375,36600,13692.122733519704,14678.932053175768,15744.702139305258,46.35342836564049,6.536526520856249,-530.1456109470655,-587.7017770431609,57.55616609609535,0.5413935360139941,14.815640445482442,-280500,36600.0,41.158478414017004,21.882331978297746,33.37020684481809
2008-07-21,13850.0400390625,13878.8798828125,13581.1904296875,13782.1298828125,32400,13707.162476904732,14646.426483994856,15707.184077914313,48.80818711210162,2.454758746461131,-454.5204971209532,-561.0655210587194,106.54502393776613,0.6673312408460793,14.130488408129757,-248100,32400.0,39.26666986137779,23.758940629944746,31.93031321229126
2008-07-22,14104.2001953125,14206.1298828125,13798.1796875,13837.6396484375,35600,13744.975592943569,14625.162707968097,15675.441822813287,51.630595091722924,2.8224079796213033,-369.8154467914246,-522.8155062052605,153.00005941383586,0.8004213302115116,14.126377546607774,-212500,35600.0,36.821781452802675,27.138995055190907,30.01873413868911
2008-07-23,14942.2802734375,14979.900390625,14568.2197265625,14568.2197265625,39000,13859.004610133466,14637.598690927682,15660.923772330598,59.55012185760651,7.919526765883589,-232.3812792265071,-464.7286608095098,232.3473815830027,1.12508610806994,16.22837630965377,-173500,39000.0,35.154061891770446,34.58170021985218,26.369335842627876
2008-07-24,14777.009765625,15130.08984375,14608.0498046875,15082.3701171875,31200,13946.433672561232,14643.065791896204,15643.420524673062,57.54905672848225,-2.001065129124264,-135.24068954414906,-398.83106655643763,263.59037701228857,1.012067997687992,17.152925010515936,-204700,-31200.0,33.82506139597641,34.160927067782985,24.4602607027836
2008-07-25,14274.9404296875,14484.3896484375,14210.6298828125,14451.9501953125,27800,13977.720030382781,14628.629503182137,15616.321908930773,51.849085191370676,-5.699971537111573,-97.64330061373403,-338.59351336789695,240.95021275416292,0.777998404023152,17.643483345449912,-232500,-27800.0,31.82558615051014,31.496664153548835,28.025111379740146
2008-07-28,14349.1103515625,14421.6103515625,14219.3798828125,14267.0302734375,21800,14013.090537161803,14617.667967824505,15591.228610765065,52.59604606250049,0.746960871129815,-61.15722377379279,-283.1062554490761,221.94903167528332,0.7810229496088743,18.17346469130932,-210700,21800.0,29.968930565434317,30.57959391865421,27.209120348097187
2008-07-29,13791.5400390625,14153.1201171875,13727.1396484375,14085.5302734375,23600,13991.990489723774,14585.270794147564,15555.591213305608,46.727597938324905,-5.868448124175586,-76.35286116388306,-241.7555765920375,165.40271542815444,0.5408916283392347,17.5303862498778,-234300,-23600.0,28.293607377795706,27.889955594043712,31.77689655366645
2008-07-30,14287.2099609375,14322.669921875,14002.1904296875,14007.3203125,26000,14020.106629839367,14573.582134021679,15530.474752862676,51.86890478284797,5.141306844523065,-47.847536449122344,-202.97396856345446,155.12643211433212,0.7291808198048817,17.88967726978091,-208300,26000.0,26.422360708932338,28.19172411003137,29.398912551941653
